title,location,location_status,status,year,area,bathrooms,bedrooms,heating_type,energy_class,price
Piso principal reformado en Rambla Catalunya ,Eixample  Eixample Esquerra ,Excelente,Excelente,1880,169m²,3,2,Calefaccióncentralizada,C,1.850.000EUR
Nuevo piso principal en Rambla Catalunya ,Eixample  Eixample Esquerra ,Excelente,Excelente,1880,139m²,3,2,CentralCalefaccióncentralizada,C,1.620.000EUR
Planta baja dúplex con terraza en Maragall ,Horta Guinardó  Baix Guinardó ,,Excelente,2022,120m²,2,2,Pellets,B,600.000EUR
Luminoso piso en Passeig de Maragall ,Horta Guinardó  Baix Guinardó ,,Excelente,2022,116m²,2,4,Pellets,B,700.000EUR
Piso de cuatro habitaciones en Maragall ,Horta Guinardó  Baix Guinardó ,,Excelente,2022,116m²,2,4,Pellets,B,690.000EUR
Atico en primera línea de mar en Vilassar ,Maresme  Vilassar de Mar ,Excelente,Muybien,1973,146m²,2,4,Gas,,580.000EUR
Piso de cuatro habitaciones en Maragall ,Horta Guinardó  Baix Guinardó ,,Excelente,2022,116m²,2,4,Pellets,B,685.000EUR
Piso de cuatro habitaciones en Maragall ,Horta Guinardó  Baix Guinardó ,,Excelente,2022,116m²,2,4,Pellets,B,680.000EUR
Piso reformado con terraza en Vila de Gràcia ,Gracia  Vila de Gracia ,,Excelente,1936,115m²,2,3,Gas,,725.000EUR
Magnifico piso en Vallcarca ,Gracia  Vallcarca- Penitents ,Muybien,Necesitarenovaciones,1965,183m²,2,5,,,685.000EUR
Piso reformado con terraza en Vallcarca ,Gracia  Vallcarca- Penitents ,,Excelente,1972,90m²,2,2,BombadecalorGas,,597.000EUR
Piso para estrenar con gran terraza en Bonanova ,Sant Gervasi  Bonanova ,Excelente,Excelente,1964,120m²,2,4,Gas,E,850.000EUR
Piso con piscina y vistas amplias en Provençals ,SANT MARTIN  Provençals del Poblenou ,,,2015,89m²,2,3,,B,539.000EUR
Exclusivo ático con vistas y gran terraza ,Sant Just - Esplugues  Mas Llui ,Muybien,Muybien,1999,190m²,3,4,Gas,,700.000EUR
Luminoso ático con terraza en Guinardó ,Horta Guinardó ,Excelente,Excelente,1969,75m²,1,1,Bombadecalor,G,490.000EUR
Piso con bonitas vistas en el Turó de la Peira ,Nou Barris ,Bien,Bien,1973,76m²,1,3,Gas,F,265.000EUR
Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,79m²,2,3,Bombadecalor,D,770.000EUR
Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,79m²,2,3,Bombadecalor,D,740.000EUR
Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,79m²,2,3,Bombadecalor,D,720.000EUR
Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,85m²,2,2,Bombadecalor,D,790.000EUR
Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,85m²,2,2,Bombadecalor,D,770.000EUR
Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,85m²,2,2,Bombadecalor,D,750.000EUR
Dúplex con terraza en Sant Feliu de Llobregat ,Sant Feliu De LLobregat ,Excelente,Excelente,2023,134m²,2,3,CorrienteEléctrica,A,595.000EUR
Piso obra nueva en Sant Feliu de Llobregat ,Sant Feliu De LLobregat ,Excelente,Excelente,2023,90m²,2,2,CorrienteEléctrica,A,395.000EUR
Piso de obra nueva frente al mar en Badalona ,Badalona  Front Marítim ,,Excelente,,119m²,2,3,Sueloradiante,A,482.000EUR
Piso de obra nueva frente al mar en Badalona ,Badalona  Front Marítim ,,Excelente,,119m²,2,3,Sueloradiante,A,472.000EUR
Piso de obra nueva frente al mar en Badalona ,Badalona  Front Marítim ,,Excelente,,119m²,2,3,Sueloradiante,A,526.000EUR
Piso de obra nueva frente al mar en Badalona ,Badalona  Front Marítim ,,Excelente,,119m²,2,3,Sueloradiante,A,494.000EUR
Piso de obra nueva frente al mar en Badalona ,Badalona  Front Marítim ,,Excelente,,119m²,2,3,Sueloradiante,A,472.000EUR
Magnífico ático con terraza en zona Turó Parc ,Sant Gervasi  Turo Parc ,Excelente,Excelente,1965,223m²,4,5,Central,E,1.750.000EUR
Magnífico piso con terraza y vistas al mar ,Maresme  Vilassar de Mar ,Excelente,Bien,1972,135m²,2,4,,,395.000EUR
¡Oportunidad! Espléndido piso en Travesera de Gracia ,Horta Guinardó  Baix Guinardó ,Muybien,Muybien,1945,117m²,2,4,Gas,F,390.000EUR
Precioso ático con vistas a mar en venta ,Badalona  Front Marítim ,Excelente,Excelente,2004,167m²,2,4,Central,E,695.000EUR
Impresionante duplex en Casagemes ,Badalona  Badalona ,Excelente,Excelente,2018,129m²,3,3,Gas,B,495.000EUR
Ático de ensueño en la Ciutadella ,SANT MARTIN  El Parc i La Llacuna del Poblenou ,Excelente,Excelente,1950,105m²,1,2,Bombadecalor,E,560.000EUR
Dúplex encantador con entrada independiente ,Eixample  Sant Antoni ,Excelente,Muybien,1890,102m²,1,2,Bombadecalor,F,400.000EUR
Piso alto a reformar en Eixample Dret ,Eixample  Eixample Dreta ,Excelente,Necesitarestauración,1924,192m²,2,8,Gas,E,950.000EUR
Amplio piso exterior en el Born ,Ciutat Vella  Born-Ribera ,Excelente,Muybien,1900,125m²,2,3,Gas,G,562.000EUR
Ático con terraza a nivel en el Raval Alto ,Ciutat Vella  raval ,,,1898,105m²,1,2,,E,448.000EUR
